Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2021 GM1),1999-06-27 00:19:00,0.03036,0.0303,1.62,1.57,30.4,2.2 m -  4.9 m,0.0,4.9
(2022 MA1),1999-07-01 07:03:00,0.04131,0.0389,14.46,14.45,22.5,84 m -  190 m,1.0,190.0
(2015 OQ21),1999-07-26 00:21:00,0.01697,0.01679,8.17,8.15,27.9,7.0 m -   16 m,0.0,16.0
(2023 CF3),1999-08-21 19:16:00,0.04899,0.03442,12.11,12.11,22.1,100 m -  230 m,1.0,230.0
(2017 AG5),1999-09-06 00:13:00,0.02868,0.02867,8.16,8.15,22.4,88 m -  200 m,1.0,200.0
(2020 BF1),1999-09-08 00:26:00,0.0302,0.02051,5.1,5.08,26.2,15 m -   34 m,0.0,34.0
(2020 SN4),1999-09-19 06:52:00,0.02562,0.01746,7.28,7.26,26.6,13 m -   28 m,0.0,28.0
(2017 FE65),1999-09-25 00:02:00,0.02395,0.02394,15.16,15.15,20.6,200 m -  440 m,2.0,440.0
(1999 TO13),1999-10-05 00:02:00,0.03148,0.03122,14.95,14.95,21.4,140 m -  310 m,1.0,310.0
(2021 TQ1),1999-10-11 17:32:00,0.02128,0.00706,4.84,4.82,28.1,6.4 m -   14 m,0.0,14.0
(2022 UN20),1999-10-21 05:52:00,0.03681,0.02875,8.67,8.66,27.5,8.4 m -   19 m,0.0,19.0
(1999 XS35),1999-11-05 00:07:00,0.04539,0.04538,17.75,17.75,17.2,970 m -  2.2 km,2.0,
(2009 WY7),1999-11-10 02:58:00,0.04674,0.04635,12.42,12.42,24.1,40 m -   90 m,0.0,90.0
(2021 VR1),1999-11-11 01:39:00,0.03484,0.03045,4.46,4.44,29.7,3.1 m -  6.9 m,0.0,6.9
(1999 VW25),1999-11-14 00:09:00,0.04322,0.04251,5.95,5.94,24.5,33 m -   74 m,0.0,74.0
(1999 VK12),1999-11-16 00:06:00,0.01876,0.01775,24.75,24.74,23.4,57 m -  130 m,1.0,130.0
(2022 WF2),1999-11-17 03:45:00,0.04071,0.00916,10.62,10.62,26.3,14 m -   32 m,0.0,32.0
(1999 VX25),1999-11-20 00:03:00,0.01742,0.01733,2.89,2.84,26.7,12 m -   27 m,0.0,27.0
(2022 RC7),1999-12-06 02:34:00,0.02782,0.02661,7.18,7.17,23.4,57 m -  130 m,1.0,130.0
(2003 YN107),1999-12-13 00:02:00,0.04452,0.04452,2.42,2.4,26.5,13 m -   30 m,0.0,30.0
(2020 RG6),1999-12-25 00:01:00,0.03001,0.02995,17.28,17.28,23.8,47 m -  110 m,0.0,110.0
(2019 AX5),2000-01-08 00:17:00,0.04763,0.04718,9.91,9.91,26.0,17 m -   38 m,0.0,38.0
(2009 DC1),2000-02-07 11:22:00,0.04525,0.03392,9.14,9.14,24.0,42 m -   94 m,0.0,94.0
(2022 CF3),2000-03-02 03:56:00,0.02958,0.02928,4.07,4.05,25.4,22 m -   49 m,0.0,49.0
(2003 FK1),2000-03-15 22:14:00,0.04932,0.02003,15.14,15.13,23.0,67 m -  150 m,0.0,150.0
(2010 FK),2000-03-17 12:52:00,0.04201,0.03842,6.98,6.97,23.8,0.087±0.009 km,0.0,
(2017 FV),2000-04-02 02:17:00,0.03321,0.03202,13.82,13.82,24.6,32 m -   71 m,0.0,71.0
(2021 EH4),2000-04-06 00:59:00,0.04929,0.04849,8.08,8.07,24.9,27 m -   61 m,0.0,61.0
(2001 GO2),2000-04-06 04:57:00,0.02567,0.02062,5.83,5.82,24.3,37 m -   82 m,0.0,82.0
(2010 HX107),2000-04-13 00:03:00,0.02929,0.02929,5.86,5.84,23.6,0.064±0.010 km,0.0,
(2000 JX8),2000-05-05 00:01:00,0.01883,0.01849,5.62,5.59,25.4,22 m -   49 m,0.0,49.0
(2000 LG6),2000-06-02 00:02:00,0.00332,0.00331,2.45,2.09,29.0,4.2 m -  9.4 m,0.0,9.4
(2003 YN107),2000-06-25 00:01:00,0.02151,0.02151,2.27,2.21,26.5,13 m -   30 m,0.0,30.0
(2019 AC3),2000-07-01 00:09:00,0.01747,0.0174,3.6,3.56,27.3,9.2 m -   21 m,0.0,21.0
(2012 VS76),2000-07-06 16:06:00,0.01644,0.00882,11.93,11.92,27.0,11 m -   24 m,0.0,24.0
(2015 LE21),2000-07-31 02:22:00,0.02497,0.02425,3.96,3.93,24.8,29 m -   65 m,0.0,65.0
(2000 QX69),2000-08-22 00:02:00,0.02022,0.02008,8.2,8.18,24.2,38 m -   86 m,0.0,86.0
(2015 RT1),2000-08-24 00:26:00,0.01162,0.01048,8.04,8.02,25.4,22 m -   49 m,0.0,49.0
(2021 QV1),2000-08-27 00:32:00,0.046,0.04463,13.17,13.17,26.6,13 m -   28 m,0.0,28.0
(2021 RR14),2000-08-29 06:23:00,0.02394,0.0235,2.52,2.47,26.9,11 m -   25 m,0.0,25.0
(2000 SL10),2000-09-06 00:04:00,0.03853,0.03851,9.33,9.32,21.9,110 m -  250 m,1.0,250.0
(2017 FB3),2000-09-10 02:43:00,0.02292,0.02241,4.6,4.57,25.9,18 m -   39 m,0.0,39.0
(2000 SG344),2000-09-12 00:02:00,0.0398,0.0398,2.59,2.56,24.7,31 m -   68 m,0.0,68.0
(2020 XY4),2000-09-19 01:52:00,0.04059,0.02935,10.8,10.8,27.0,11 m -   24 m,0.0,24.0
(2017 EB3),2000-09-23 00:06:00,0.03248,0.03242,4.46,4.45,25.0,27 m -   59 m,0.0,59.0
(2021 GR),2000-10-04 17:38:00,0.04285,0.03472,6.09,6.08,28.2,6.1 m -   14 m,0.0,14.0
(2020 GB1),2000-10-10 18:03:00,0.00687,6e-05,8.48,8.44,26.9,11 m -   25 m,0.0,25.0
(2000 SZ162),2000-10-11 00:02:00,0.02175,0.02163,3.55,3.51,27.3,9.2 m -   21 m,0.0,21.0
(2020 BW),2000-10-12 00:15:00,0.02495,0.02439,9.54,9.53,24.3,37 m -   82 m,0.0,82.0
(2019 UX1),2000-10-17 06:15:00,0.01847,0.00595,10.1,10.09,24.1,40 m -   90 m,1.0,90.0
(2016 TY55),2000-10-20 16:19:00,0.02286,0.01757,4.06,4.03,26.9,11 m -   25 m,0.0,25.0
(2000 UR16),2000-10-23 00:02:00,0.01923,0.01919,14.07,14.06,23.9,44 m -   99 m,1.0,99.0
(2021 SZ4),2000-10-26 08:52:00,0.03843,0.03433,29.37,29.37,20.5,220 m -  480 m,1.0,480.0
(2015 TC25),2000-10-30 04:44:00,0.03487,0.03466,2.72,2.69,29.3,3.6 m -  8.1 m,0.0,8.1
(2015 VU64),2000-11-02 20:42:00,0.03418,0.02837,4.57,4.55,30.6,2.0 m -  4.5 m,0.0,4.5
(2021 UX1),2000-11-03 04:09:00,0.01132,0.01075,3.81,3.75,29.3,3.7 m -  8.3 m,0.0,8.3
(2000 WJ107),2000-11-19 00:01:00,0.02142,0.02135,13.37,13.36,23.8,46 m -  100 m,1.0,100.0
(2000 WS28),2000-11-23 00:02:00,0.02967,0.0287,12.36,12.35,23.4,56 m -  120 m,0.0,120.0
(2015 KP18),2000-11-25 00:10:00,0.03002,0.02991,17.83,17.83,23.1,64 m -  140 m,1.0,140.0
(2000 WG10),2000-11-28 00:05:00,0.04087,0.04026,5.26,5.24,23.4,56 m -  120 m,0.0,120.0
(2014 UY),2000-12-02 10:21:00,0.0374,0.03679,3.08,3.05,25.3,23 m -   52 m,0.0,52.0
(2019 AG7),2000-12-14 12:34:00,0.01352,0.0107,7.43,7.4,25.5,21 m -   47 m,0.0,47.0
(2020 XF4),2000-12-17 18:50:00,0.01614,0.00267,6.25,6.23,27.6,8.1 m -   18 m,0.0,18.0
(2017 WZ14),2000-12-24 00:04:00,0.00953,0.00818,5.28,5.22,25.1,25 m -   57 m,1.0,57.0
(2011 CL50),2001-01-05 00:09:00,0.01826,0.01825,3.04,2.99,27.3,9.2 m -   21 m,0.0,21.0
(2001 BA16),2001-01-15 00:01:00,0.00205,0.00204,5.1,4.84,26.0,17 m -   38 m,1.0,38.0
(2001 BN61),2001-01-15 00:10:00,0.0233,0.0221,8.78,8.77,25.0,27 m -   59 m,0.0,59.0
(2001 BB40),2001-01-22 00:03:00,0.03628,0.03601,10.78,10.77,24.6,32 m -   71 m,0.0,71.0
(2020 RA7),2001-01-31 00:25:00,0.04425,0.04395,7.32,7.31,27.0,11 m -   24 m,0.0,24.0
(2011 MW1),2001-02-02 00:01:00,0.0398,0.03979,8.88,8.87,22.3,92 m -  210 m,1.0,210.0
(2005 VL1),2001-02-07 00:06:00,0.00874,0.00864,6.68,6.64,26.4,14 m -   30 m,0.0,30.0
(2022 EZ6),2001-02-22 05:26:00,0.01259,0.01068,7.43,7.4,23.4,54 m -  120 m,1.0,120.0
(2021 OH2),2001-03-07 17:03:00,0.04436,0.04426,4.31,4.3,25.1,26 m -   58 m,0.0,58.0
(2020 FK1),2001-03-14 04:47:00,0.04024,0.02817,5.6,5.59,27.4,8.8 m -   20 m,0.0,20.0
(2016 GY2),2001-04-03 04:54:00,0.04768,0.04024,8.8,8.79,26.1,16 m -   36 m,0.0,36.0
(2001 GO2),2001-04-06 00:02:00,0.0161,0.01591,5.58,5.55,24.3,37 m -   82 m,1.0,82.0
(2001 HJ31),2001-04-19 00:08:00,0.02629,0.02562,13.31,13.3,23.8,46 m -  100 m,0.0,100.0
(2001 KW18),2001-05-24 00:05:00,0.03398,0.03315,4.28,4.26,26.0,17 m -   38 m,0.0,38.0
(2012 UR138),2001-06-05 17:37:00,0.02729,0.02039,13.03,13.03,21.4,140 m -  310 m,1.0,310.0
(2001 MS3),2001-06-07 00:01:00,0.0232,0.02308,8.69,8.67,24.0,42 m -   94 m,0.0,94.0
(2020 UC4),2001-06-16 09:16:00,0.01533,0.00567,8.06,8.04,26.1,16 m -   36 m,0.0,36.0
(2020 KQ7),2001-06-28 00:55:00,0.01155,0.01149,3.36,3.29,26.5,13 m -   30 m,0.0,30.0
(2020 MK3),2001-06-30 02:10:00,0.0164,0.01604,7.79,7.77,25.8,18 m -   41 m,0.0,41.0
(2001 NY1),2001-07-02 00:02:00,0.02187,0.02186,9.69,9.68,23.2,61 m -  140 m,1.0,140.0
(2012 KT12),2001-07-07 00:09:00,0.03121,0.03121,3.67,3.65,26.8,12 m -   26 m,0.0,26.0
(2022 YG),2001-07-17 03:21:00,0.0314,0.02902,5.14,5.12,26.6,13 m -   28 m,0.0,28.0
(2001 FR85),2001-09-15 00:08:00,0.04084,0.04083,2.95,2.93,24.8,29 m -   65 m,0.0,65.0
(2019 XR1),2001-09-16 07:32:00,0.04346,0.04241,11.17,11.17,26.1,16 m -   36 m,0.0,36.0
(2001 SZ169),2001-09-19 00:04:00,0.0321,0.03166,4.6,4.59,25.1,25 m -   57 m,0.0,57.0
(2017 FQ127),2001-10-05 00:44:00,0.01994,0.01929,13.82,13.81,26.3,15 m -   33 m,0.0,33.0
(2001 UO),2001-10-11 00:05:00,0.02258,0.02234,15.86,15.85,24.1,40 m -   90 m,0.0,90.0
(2020 TK4),2001-10-24 00:11:00,0.04482,0.01306,10.58,10.57,26.3,15 m -   33 m,0.0,33.0
(2010 UE51),2001-10-24 00:25:00,0.02662,0.02656,1.57,1.5,28.3,5.8 m -   13 m,0.0,13.0
(2010 FN),2001-10-24 07:23:00,0.02513,0.00165,6.09,6.07,26.6,13 m -   28 m,0.0,28.0
(2001 UU16),2001-10-26 00:01:00,0.03122,0.0311,9.33,9.33,24.9,28 m -   62 m,0.0,62.0
(2001 UD18),2001-10-26 00:16:00,0.01299,0.01284,5.95,5.91,27.6,8.0 m -   18 m,0.0,18.0
(2001 UT16),2001-10-26 01:08:00,0.02501,0.02421,7.78,7.76,25.5,21 m -   47 m,0.0,47.0
(2021 CF8),2001-11-01 13:11:00,0.03453,0.02563,11.95,11.94,24.1,41 m -   92 m,0.0,92.0
(2012 VC26),2001-11-11 12:05:00,0.01685,0.00887,4.99,4.96,28.7,4.8 m -   11 m,0.0,11.0
(2001 XH16),2001-12-02 00:02:00,0.02124,0.02086,14.88,14.87,24.8,29 m -   65 m,0.0,65.0
(2020 WM5),2001-12-06 19:08:00,0.03782,0.03248,18.14,18.14,20.2,240 m -  540 m,1.0,540.0
(2001 YD1),2001-12-11 00:03:00,0.01783,0.01757,13.01,13.0,24.4,35 m -   78 m,0.0,78.0
(2001 YN2),2001-12-15 00:01:00,0.00891,0.00885,18.86,18.84,25.4,22 m -   49 m,0.0,49.0
(2001 YC1),2001-12-19 00:02:00,0.04023,0.03888,12.54,12.53,24.1,40 m -   89 m,0.0,89.0
(2019 YC2),2001-12-19 00:28:00,0.04367,0.03926,6.13,6.12,26.8,12 m -   26 m,0.0,26.0
(2002 AS4),2002-01-01 00:07:00,0.03864,0.03746,30.06,30.06,21.6,120 m -  280 m,1.0,280.0
(2002 AE29),2002-01-02 00:11:00,0.03129,0.03001,11.45,11.44,24.6,32 m -   71 m,0.0,71.0
(2021 AC),2002-01-06 00:04:00,0.02568,0.02563,14.01,14.01,23.7,49 m -  110 m,0.0,110.0
(2019 QW2),2002-01-06 00:23:00,0.03629,0.03613,4.3,4.28,24.8,29 m -   65 m,0.0,65.0
(2002 AN129),2002-01-17 00:01:00,0.01194,0.01148,11.81,11.79,26.2,15 m -   34 m,0.0,34.0
(2002 BM),2002-01-19 00:02:00,0.03148,0.03046,10.63,10.62,24.1,40 m -   90 m,0.0,90.0
(2007 BD),2002-01-24 09:21:00,0.02545,0.02379,7.65,7.64,25.4,22 m -   49 m,0.0,49.0
(2002 CA26),2002-02-05 00:02:00,0.00652,0.0063,15.26,15.23,27.3,9.2 m -   21 m,0.0,21.0
(2002 CB26),2002-02-08 00:01:00,0.00319,0.00312,22.36,22.33,26.9,11 m -   25 m,0.0,25.0
(2002 DC3),2002-02-18 00:02:00,0.02756,0.02692,5.26,5.24,26.1,16 m -   36 m,0.0,36.0
(2019 PB1),2002-02-24 00:05:00,0.04701,0.04699,10.83,10.82,24.8,29 m -   65 m,0.0,65.0
(2017 FB3),2002-02-24 04:28:00,0.02663,0.02513,4.43,4.41,25.9,18 m -   39 m,0.0,39.0
(2002 EM7),2002-03-08 00:03:00,0.00311,0.0031,10.29,10.2,24.4,35 m -   78 m,2.0,78.0
(2002 FW1),2002-03-08 00:09:00,0.01226,0.01208,9.18,9.16,24.0,42 m -   94 m,1.0,94.0
(2021 VX11),2002-03-11 02:58:00,0.0399,0.03581,5.81,5.8,26.2,15 m -   34 m,0.0,34.0
(2002 FB),2002-03-14 00:02:00,0.01598,0.01585,5.01,4.98,26.6,13 m -   28 m,0.0,28.0
(2015 VU64),2002-03-14 02:48:00,0.02218,0.01652,4.14,4.11,30.6,2.0 m -  4.5 m,0.0,4.5
(2002 FS6),2002-03-16 00:02:00,0.04175,0.03994,7.85,7.84,24.8,29 m -   65 m,0.0,65.0
(2016 TY55),2002-04-04 06:33:00,0.02497,0.02122,5.04,5.02,26.9,11 m -   25 m,0.0,25.0
(2010 GK65),2002-04-07 19:43:00,0.0447,0.01261,13.96,13.95,24.5,33 m -   75 m,0.0,75.0
(2001 GO2),2002-04-08 04:47:00,0.04827,0.04375,6.43,6.43,24.3,37 m -   82 m,0.0,82.0
(2002 GJ1),2002-04-12 00:11:00,0.03517,0.03458,8.52,8.51,23.3,58 m -  130 m,0.0,130.0
(2021 HC3),2002-05-04 00:22:00,0.04968,0.04951,25.95,25.95,21.6,130 m -  290 m,1.0,290.0
(2018 WG2),2002-05-17 10:29:00,0.0214,0.01334,7.09,7.08,30.1,2.5 m -  5.7 m,0.0,5.7
(2018 XP3),2002-05-29 08:30:00,0.04083,0.03904,11.01,11.01,22.9,70 m -  160 m,0.0,160.0
(2008 LD),2002-05-30 23:04:00,0.01199,0.00569,4.38,4.33,28.9,4.4 m -  9.9 m,0.0,9.9
(2002 MX),2002-06-12 00:01:00,0.04148,0.04128,25.57,25.57,21.7,120 m -  270 m,1.0,270.0
(2002 MN),2002-06-14 00:02:00,0.0008,0.0008,10.57,10.26,23.6,51 m -  110 m,3.0,110.0
(2021 OS),2002-07-18 00:13:00,0.02461,0.02292,13.64,13.64,22.0,100 m -  230 m,1.0,230.0
(2022 YG),2002-07-18 01:21:00,0.01874,0.01844,5.62,5.59,26.6,13 m -   28 m,0.0,28.0
(2020 DD4),2002-07-20 00:07:00,0.04559,0.02768,11.83,11.83,28.3,5.8 m -   13 m,0.0,13.0
(2013 YP139),2002-08-03 00:02:00,0.01058,0.01058,16.08,16.07,21.2,0.402±0.026 km,2.0,
(2021 CZ3),2002-08-14 19:48:00,0.01208,0.00516,9.6,9.57,31.0,1.7 m -  3.8 m,0.0,3.8
(2020 PJ6),2002-08-25 13:23:00,0.03165,0.00183,3.2,3.17,25.6,20 m -   45 m,0.0,45.0
(2022 QB8),2002-08-31 01:08:00,0.04936,0.04922,10.62,10.61,25.9,18 m -   40 m,0.0,40.0
(2021 RS5),2002-09-11 03:13:00,0.04524,0.04307,8.94,8.94,28.4,5.7 m -   13 m,0.0,13.0
(2020 RD4),2002-09-15 12:30:00,0.01814,7e-05,9.33,9.31,29.7,3.1 m -  6.8 m,0.0,6.8
(2021 PC7),2002-09-16 07:00:00,0.01412,0.00311,17.98,17.97,19.4,350 m -  790 m,2.0,790.0
(2002 TG66),2002-09-26 00:07:00,0.02506,0.02453,11.99,11.98,23.9,44 m -   99 m,0.0,99.0
(2002 TZ59),2002-09-27 00:12:00,0.01644,0.01576,29.57,29.56,23.4,56 m -  120 m,1.0,120.0
(2018 SO2),2002-10-02 21:08:00,0.02526,0.00511,8.69,8.68,25.9,18 m -   39 m,0.0,39.0
(2005 TQ45),2002-10-08 00:39:00,0.04311,0.04226,12.94,12.94,25.6,20 m -   45 m,0.0,45.0
(2015 BM510),2002-10-23 13:20:00,0.02635,0.02528,3.56,3.53,25.1,25 m -   57 m,0.0,57.0
(2021 JY),2002-11-04 00:02:00,0.04613,0.04612,25.48,25.48,18.9,440 m -  990 m,1.0,990.0
(2002 VR14),2002-11-26 00:02:00,0.04052,0.04049,11.41,11.4,22.4,88 m -  200 m,1.0,200.0
(2002 XF40),2002-12-04 00:03:00,0.02508,0.02419,9.49,9.48,24.9,28 m -   62 m,0.0,62.0
(2010 VQ),2002-12-10 00:08:00,0.02538,0.02538,4.02,4.0,27.7,7.6 m -   17 m,0.0,17.0
(2002 XV90),2002-12-11 00:03:00,0.00079,0.00078,8.01,7.57,25.5,21 m -   47 m,2.0,47.0
(2015 VC2),2002-12-23 00:25:00,0.01144,0.01143,1.58,1.43,27.4,8.8 m -   20 m,0.0,20.0
(2021 JG6),2002-12-31 01:14:00,0.04119,0.04098,3.38,3.36,24.0,42 m -   95 m,0.0,95.0
(2020 BR2),2003-01-03 21:03:00,0.04589,0.0428,4.11,4.09,25.8,18 m -   41 m,0.0,41.0
(2015 RT1),2003-01-05 00:29:00,0.03851,0.03738,6.9,6.89,25.4,22 m -   49 m,0.0,49.0
(2003 BS47),2003-01-29 00:03:00,0.02195,0.0214,7.0,6.98,25.8,18 m -   41 m,0.0,41.0
(2021 EZ2),2003-02-08 06:35:00,0.03422,0.01038,9.25,9.24,24.6,32 m -   71 m,0.0,71.0
(2020 HG9),2003-02-14 00:02:00,0.03832,0.03823,10.98,10.97,23.3,57 m -  130 m,0.0,130.0
(2018 TP1),2003-03-13 00:09:00,0.04138,0.04131,18.0,17.99,24.7,31 m -   70 m,0.0,70.0
(2003 GP51),2003-04-02 00:07:00,0.03932,0.039,12.96,12.95,22.0,110 m -  240 m,1.0,240.0
(2022 HA),2003-04-19 20:55:00,0.01904,0.01712,11.78,11.77,24.4,35 m -   79 m,0.0,79.0
(2001 BF10),2003-04-21 00:03:00,0.04126,0.04125,8.13,8.13,22.6,80 m -  180 m,0.0,180.0
(2003 JX2),2003-04-27 00:03:00,0.00938,0.00922,8.34,8.31,26.4,14 m -   31 m,0.0,31.0
(2003 JY2),2003-04-28 00:01:00,0.01499,0.01483,18.42,18.41,24.6,32 m -   71 m,0.0,71.0
(2016 JB),2003-04-30 16:00:00,0.04633,0.04267,5.35,5.34,27.1,10 m -   23 m,0.0,23.0
(2008 WO2),2003-05-04 09:13:00,0.00782,0.00739,6.22,6.16,29.8,2.9 m -  6.5 m,0.0,6.5
(2020 JQ1),2003-05-12 06:40:00,0.04501,0.00794,15.2,15.2,26.1,16 m -   36 m,0.0,36.0
(2019 GK20),2003-05-13 02:54:00,0.03917,0.03915,5.99,5.97,24.7,31 m -   68 m,0.0,68.0
(2021 KC),2003-05-23 02:27:00,0.04625,0.03997,7.71,7.7,23.5,54 m -  120 m,0.0,120.0
(2004 XO),2003-06-02 23:44:00,0.04101,0.02198,13.59,13.58,21.6,130 m -  280 m,1.0,280.0
(2022 YG),2003-07-18 00:15:00,0.01734,0.01663,5.66,5.64,26.6,13 m -   28 m,0.0,28.0
(2014 JR24),2003-08-14 16:23:00,0.03044,0.02867,4.19,4.17,29.3,3.7 m -  8.2 m,0.0,8.2
(2003 RD5),2003-08-23 00:03:00,0.04876,0.04813,5.53,5.52,23.4,56 m -  120 m,0.0,120.0
(2020 YB),2003-09-02 04:34:00,0.02572,0.02245,5.28,5.26,28.9,4.4 m -  9.9 m,0.0,9.9
(2020 TS1),2003-09-04 07:53:00,0.0445,0.04428,3.67,3.65,29.2,3.8 m -  8.6 m,0.0,8.6
(2012 SU9),2003-09-14 17:43:00,0.04246,0.01336,12.15,12.15,27.2,9.7 m -   22 m,0.0,22.0
(2003 UC10),2003-10-05 00:13:00,0.02815,0.02765,13.7,13.69,23.9,44 m -   99 m,0.0,99.0
(2010 FV9),2003-10-10 00:02:00,0.01304,0.01301,7.39,7.36,25.4,22 m -   49 m,0.0,49.0
(2018 GL2),2003-10-11 00:03:00,0.02147,0.02141,12.45,12.44,24.3,37 m -   82 m,0.0,82.0
(2003 UM3),2003-10-12 21:18:00,0.00185,0.00151,12.89,12.78,28.1,6.4 m -   14 m,0.0,14.0
(2003 UT55),2003-10-27 00:19:00,0.0074,0.00725,9.5,9.47,26.8,12 m -   26 m,0.0,26.0
(2016 UA6),2003-10-28 07:40:00,0.04686,0.04377,8.05,8.05,25.8,18 m -   41 m,0.0,41.0
(2003 UR25),2003-10-31 04:55:00,0.04091,0.03545,8.8,8.79,25.5,21 m -   47 m,0.0,47.0
(2019 TF2),2003-11-04 09:46:00,0.04832,0.04804,1.41,1.37,26.3,15 m -   33 m,0.0,33.0
(2003 WE),2003-11-05 00:04:00,0.02865,0.02841,6.99,6.98,24.6,32 m -   71 m,0.0,71.0
(2016 WR),2003-11-08 21:47:00,0.03336,0.01498,7.59,7.57,26.6,13 m -   29 m,0.0,29.0
(2020 VP4),2003-11-22 06:40:00,0.0082,0.00654,3.92,3.83,27.6,8.0 m -   18 m,0.0,18.0
(2003 XK),2003-11-30 00:03:00,0.01099,0.01072,19.64,19.63,25.9,18 m -   39 m,0.0,39.0
(2006 WV1),2003-12-02 21:04:00,0.029,0.01322,8.12,8.11,25.9,18 m -   39 m,0.0,39.0
(2003 YN1),2003-12-07 00:03:00,0.04561,0.04527,4.0,3.99,24.9,28 m -   62 m,0.0,62.0
289P/Blanpain,2003-12-12 00:29:00,0.02501,0.02497,9.05,9.03,,,,
(2005 YO3),2003-12-21 14:26:00,0.04277,0.02893,11.12,11.12,25.1,25 m -   57 m,0.0,57.0
(2020 XC),2003-12-22 18:11:00,0.01234,0.00231,3.21,3.14,29.0,4.1 m -  9.2 m,0.0,9.2
(2010 NK1),2003-12-24 00:01:00,0.04608,0.04607,10.27,10.26,22.4,0.219±0.002 km,0.0,
(2004 BH11),2003-12-28 00:25:00,0.0442,0.04355,8.23,8.22,24.1,40 m -   90 m,0.0,90.0
(2004 BA75),2004-01-13 00:49:00,0.02079,0.0205,17.34,17.33,24.4,34 m -   77 m,0.0,77.0
(2019 TF2),2004-01-14 22:17:00,0.04308,0.04297,1.55,1.51,26.3,15 m -   33 m,0.0,33.0
(2004 BN41),2004-01-18 00:02:00,0.00989,0.00974,6.56,6.51,26.1,16 m -   36 m,0.0,36.0
(2004 CA2),2004-02-01 00:16:00,0.00966,0.00956,14.2,14.18,23.7,48 m -  110 m,1.0,110.0
(2004 BK86),2004-02-01 01:05:00,0.00459,0.00427,15.7,15.66,25.4,22 m -   49 m,1.0,49.0
(2004 CC),2004-02-09 00:02:00,0.03559,0.03519,6.92,6.91,23.6,51 m -  110 m,0.0,110.0
(2004 DL1),2004-02-09 00:17:00,0.03164,0.02999,20.35,20.35,24.4,35 m -   78 m,0.0,78.0
(2021 CZ3),2004-02-12 22:14:00,0.04976,0.03058,10.66,10.66,31.0,1.7 m -  3.8 m,0.0,3.8
(2016 CO29),2004-02-16 12:24:00,0.04842,0.03858,9.04,9.04,25.0,27 m -   59 m,0.0,59.0
(2004 DF2),2004-02-17 00:01:00,0.00728,0.0071,19.59,19.57,26.1,16 m -   36 m,0.0,36.0
(2004 DA53),2004-02-24 00:02:00,0.00327,0.00324,9.39,9.3,28.0,6.7 m -   15 m,0.0,15.0
(2012 DS30),2004-02-26 05:00:00,0.03418,0.03168,5.36,5.34,26.0,17 m -   38 m,0.0,38.0
(2021 ER),2004-02-28 12:28:00,0.0343,0.02586,4.99,4.98,27.0,10 m -   23 m,0.0,23.0
(2004 FD),2004-03-03 00:02:00,0.02502,0.02501,22.29,22.29,22.9,70 m -  160 m,1.0,160.0
(2004 FX1),2004-03-11 00:09:00,0.01829,0.0176,11.75,11.73,25.3,23 m -   52 m,0.0,52.0
(2004 FM4),2004-03-14 00:01:00,0.01791,0.01747,13.76,13.75,25.1,25 m -   57 m,0.0,57.0
(2004 FU162),2004-03-31 01:32:00,9e-05,2e-05,13.39,10.84,29.5,3.4 m -  7.6 m,2.0,7.6
(2004 GB19),2004-04-04 00:05:00,0.03396,0.03372,9.69,9.68,23.0,67 m -  150 m,1.0,150.0
(2004 FJ31),2004-04-04 00:06:00,0.0428,0.04178,9.96,9.95,24.0,42 m -   95 m,0.0,95.0
(2004 HL),2004-04-14 00:09:00,0.01448,0.01442,4.97,4.94,26.5,13 m -   30 m,0.0,30.0
(2013 HP11),2004-04-20 20:56:00,0.04566,0.03973,3.13,3.12,25.4,22 m -   49 m,0.0,49.0
(2020 KR2),2004-04-27 09:12:00,0.02171,0.01505,4.95,4.93,26.6,13 m -   28 m,0.0,28.0
(2014 GP17),2004-04-28 11:10:00,0.03389,0.03338,8.69,8.68,25.2,24 m -   54 m,0.0,54.0
(2004 JP12),2004-05-07 00:03:00,0.03371,0.03274,24.89,24.89,23.4,56 m -  120 m,0.0,120.0
(2011 KB),2004-05-09 14:34:00,0.0108,0.00664,9.49,9.46,25.1,25 m -   57 m,0.0,57.0
(2004 JV20),2004-05-17 00:01:00,0.0425,0.04152,15.77,15.77,24.0,42 m -   94 m,0.0,94.0
(2004 LX5),2004-06-12 00:32:00,0.01763,0.01709,7.88,7.86,25.6,20 m -   45 m,0.0,45.0
(2004 MN1),2004-06-17 00:28:00,0.02868,0.02535,18.74,18.73,24.6,32 m -   71 m,0.0,71.0
(2022 MH),2004-06-17 18:32:00,0.04949,0.02398,9.69,9.68,27.4,8.8 m -   20 m,0.0,20.0
(2004 MR1),2004-06-21 00:05:00,0.00378,0.00377,7.59,7.49,25.6,20 m -   45 m,1.0,45.0
(2004 NU7),2004-07-04 00:06:00,0.01889,0.01861,7.5,7.48,24.4,35 m -   78 m,0.0,78.0
(2004 OW10),2004-07-12 00:05:00,0.01188,0.01188,6.12,6.08,24.5,33 m -   75 m,1.0,75.0
(2022 YG),2004-07-17 01:58:00,0.02449,0.02152,5.38,5.35,26.6,13 m -   28 m,0.0,28.0
